nohup: ignoring input
Training with a single process on 1 device (cuda:0).
Model mobile_former_294m created, param count:11835330
Data processing configuration for current model + dataset:
	input_size: (3, 224, 224)
	interpolation: bicubic
	mean: (0.485, 0.456, 0.406)
	std: (0.229, 0.224, 0.225)
	crop_pct: 0.875
	crop_mode: center
Created AdamW (adamw) optimizer: lr: 5e-05, betas: (0.9, 0.999), eps: 1e-08, weight_decay: 1e-08, amsgrad: False, foreach: None, maximize: False, capturable: False
AMP not enabled. Training in torch.float32.
Scheduled epochs: 300 (epochs + cooldown_epochs). Warmup within epochs when warmup_prefix=False. LR stepped per epoch.
Train: 0 [2250/40036 (  6%)]  Loss: 6.91 (6.90)  Time: 0.381s,   83.98/s  (0.380s,   84.17/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 855.8s / 14364.6s
Train: 0 [2300/40036 (  6%)]  Loss: 6.88 (6.90)  Time: 0.382s,   83.67/s  (0.380s,   84.16/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 874.9s / 14347.4s
Train: 0 [2350/40036 (  6%)]  Loss: 6.92 (6.90)  Time: 0.383s,   83.64/s  (0.380s,   84.16/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 894.0s / 14329.5s
Train: 0 [2400/40036 (  6%)]  Loss: 6.90 (6.90)  Time: 0.382s,   83.72/s  (0.380s,   84.15/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 913.1s / 14312.1s
Train: 0 [2450/40036 (  6%)]  Loss: 6.87 (6.90)  Time: 0.383s,   83.63/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 932.2s / 14294.8s
Train: 0 [2500/40036 (  6%)]  Loss: 6.92 (6.90)  Time: 0.382s,   83.70/s  (0.380s,   84.13/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 951.3s / 14277.4s
Train: 0 [2550/40036 (  6%)]  Loss: 6.87 (6.90)  Time: 0.374s,   85.47/s  (0.380s,   84.13/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 970.3s / 14257.1s
Train: 0 [2600/40036 (  6%)]  Loss: 6.89 (6.90)  Time: 0.374s,   85.55/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 989.2s / 14237.2s
Train: 0 [2650/40036 (  7%)]  Loss: 6.87 (6.90)  Time: 0.383s,   83.61/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1008.3s / 14218.6s
Train: 0 [2700/40036 (  7%)]  Loss: 6.91 (6.90)  Time: 0.376s,   85.00/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1027.3s / 14199.4s
Train: 0 [2750/40036 (  7%)]  Loss: 6.86 (6.90)  Time: 0.374s,   85.58/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1046.3s / 14180.1s
Train: 0 [2800/40036 (  7%)]  Loss: 6.92 (6.90)  Time: 0.384s,   83.34/s  (0.380s,   84.15/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1065.2s / 14160.2s
Train: 0 [2850/40036 (  7%)]  Loss: 6.93 (6.90)  Time: 0.379s,   84.39/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1084.3s / 14141.9s
Train: 0 [2900/40036 (  7%)]  Loss: 6.90 (6.90)  Time: 0.375s,   85.37/s  (0.380s,   84.14/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1103.2s / 14122.3s
Train: 0 [2950/40036 (  7%)]  Loss: 6.89 (6.90)  Time: 0.374s,   85.50/s  (0.380s,   84.16/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1122.1s / 14100.9s
Train: 0 [3000/40036 (  7%)]  Loss: 6.89 (6.90)  Time: 0.376s,   85.04/s  (0.380s,   84.16/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1141.1s / 14081.8s
Train: 0 [3050/40036 (  8%)]  Loss: 6.88 (6.90)  Time: 0.374s,   85.66/s  (0.380s,   84.18/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1159.8s / 14059.7s
Train: 0 [3100/40036 (  8%)]  Loss: 6.86 (6.90)  Time: 0.372s,   86.13/s  (0.380s,   84.19/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1178.7s / 14038.7s
Train: 0 [3150/40036 (  8%)]  Loss: 6.95 (6.90)  Time: 0.384s,   83.41/s  (0.380s,   84.21/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1197.4s / 14016.7s
Train: 0 [3200/40036 (  8%)]  Loss: 6.91 (6.90)  Time: 0.380s,   84.25/s  (0.380s,   84.22/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1216.2s / 13995.6s
Train: 0 [3250/40036 (  8%)]  Loss: 6.86 (6.90)  Time: 0.373s,   85.69/s  (0.380s,   84.24/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1235.0s / 13973.7s
Train: 0 [3300/40036 (  8%)]  Loss: 6.88 (6.90)  Time: 0.374s,   85.47/s  (0.380s,   84.25/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1253.8s / 13952.3s
Train: 0 [3350/40036 (  8%)]  Loss: 6.87 (6.90)  Time: 0.374s,   85.53/s  (0.380s,   84.27/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1272.5s / 13930.3s
Train: 0 [3400/40036 (  8%)]  Loss: 6.85 (6.90)  Time: 0.375s,   85.37/s  (0.380s,   84.29/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1291.2s / 13908.6s
Train: 0 [3450/40036 (  9%)]  Loss: 6.91 (6.90)  Time: 0.372s,   86.07/s  (0.380s,   84.29/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1310.1s / 13888.6s
Train: 0 [3500/40036 (  9%)]  Loss: 6.90 (6.90)  Time: 0.376s,   85.16/s  (0.380s,   84.30/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1329.0s / 13868.5s
Train: 0 [3550/40036 (  9%)]  Loss: 6.85 (6.90)  Time: 0.376s,   85.05/s  (0.380s,   84.31/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1347.7s / 13847.2s
Train: 0 [3600/40036 (  9%)]  Loss: 6.90 (6.90)  Time: 0.380s,   84.19/s  (0.379s,   84.32/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1366.6s / 13827.0s
Train: 0 [3650/40036 (  9%)]  Loss: 6.86 (6.90)  Time: 0.372s,   86.12/s  (0.379s,   84.34/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1385.3s / 13805.8s
Train: 0 [3700/40036 (  9%)]  Loss: 6.89 (6.89)  Time: 0.371s,   86.16/s  (0.379s,   84.35/s)  LR: 1.000e-05  Data: 0.004 (0.005)Elapsed/ETA: 1404.1s / 13784.6s
Train: 0 [3750/40036 (  9%)]  Loss: 6.88 (6.89)  Time: 0.373s,   85.71/s  (0.379s,   84.36/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1422.9s / 13764.4s
Train: 0 [3800/40036 (  9%)]  Loss: 6.92 (6.89)  Time: 0.375s,   85.39/s  (0.379s,   84.38/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1441.5s / 13742.3s
Train: 0 [3850/40036 ( 10%)]  Loss: 6.88 (6.89)  Time: 0.382s,   83.69/s  (0.379s,   84.38/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1460.5s / 13723.2s
Train: 0 [3900/40036 ( 10%)]  Loss: 6.94 (6.89)  Time: 0.375s,   85.34/s  (0.379s,   84.38/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1479.4s / 13704.1s
Train: 0 [3950/40036 ( 10%)]  Loss: 6.89 (6.89)  Time: 0.374s,   85.63/s  (0.379s,   84.39/s)  LR: 1.000e-05  Data: 0.005 (0.005)Elapsed/ETA: 1498.3s / 13683.8s
